_id,90 Kota Inflasi (2018=100),Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
55,WAINGAPU,0.24,0.57,-0.47,0.9,0.67,-0.63,-0.4,-0.45,0.27,-0.04,-0.34,0.96,1.28
56,MAUMERE,-0.57,0.85,-0.27,0.04,-0.21,0.53,-0.01,-0.89,-0.05,0.32,0.48,0.34,0.55
57,KOTA KUPANG,0.55,0.37,-0.35,0.91,0.74,-0.89,0.14,-0.56,-0.39,-0.2,0.6,0.96,1.86
58,SINTANG,-0.43,-0.13,-0.39,0.1,-0.13,0.25,-0.03,-0.11,0.25,-0.03,2.01,0.5,1.88
59,KOTA PONTIANAK,-0.01,0.09,-0.05,0.09,-0.09,0.82,-0.23,0.08,0.33,-0.21,0.02,0.32,1.16
60,KOTA SINGKAWANG,-0.04,0.25,-0.5,0.17,0.1,1.36,0.23,0.18,0.42,-0.27,0.08,0.55,2.55
61,SAMPIT,0.09,-0.02,0.04,0.44,0.4,0.54,0.01,-0.18,0.17,2.06,0.32,0.66,4.62
62,KOTA PALANGKA RAYA,0.09,0.33,0.18,-0.06,0.45,0.08,0.12,-0.14,0.04,0.21,0.26,0.99,2.58
63,KOTA BARU,0.25,0.09,0.68,0.22,0.69,-0.42,0.12,0.32,-0.18,-0.07,0.34,0.62,2.68
64,TANJUNG,0.03,0.33,0.21,-0.07,0.31,0.36,0.12,0.01,-0.04,0.32,0.38,0.45,2.43
65,KOTA BANJARMASIN,-0.23,0.59,0.01,-0.22,0.96,-0.41,0.19,-0.14,-0.04,0.39,0.62,0.8,2.54
66,KOTA BALIKPAPAN,0.02,0.28,0.16,0.02,0.25,0.47,-0.03,-0.14,0.19,0.05,0.27,0.72,2.28
67,KOTA SAMARINDA,0.24,0.11,0.24,0.26,0.23,0.28,-0.01,-0.2,0.12,0.03,0.09,0.65,2.05
68,TANJUNG SELOR,0.49,-0.13,0.64,-0.15,0.55,0.01,-0.26,-0.41,0.39,-0.3,0.17,1.31,2.33
69,KOTA TARAKAN,-0.85,-0.01,-0.19,0.73,1.2,-0.18,-0.02,-0.37,-0.13,0.68,1.06,0.9,2.83
70,KOTA MANADO,0.58,0.04,0.17,0.96,-0.3,0.07,0.28,-0.27,-0.31,0.44,0.03,0.95,2.65
71,KOTA KOTAMOBAGU,0.23,-0.21,-0.33,1.31,0.32,-0.09,0.78,-0.09,-0.79,0.47,-0.53,1.45,2.51
72,LUWUK,0.21,-0.06,0.13,0.1,0.78,0.12,-0.06,-0.17,-0.16,0.3,0.22,1.05,2.48
73,KOTA PALU,0.25,0.16,0.21,0.08,0.68,-0.86,0.11,0.49,-0.01,0.05,0.18,0.77,2.14
74,BULUKUMBA,0.07,0.24,0.11,0.42,0.4,-0.04,0.05,-0.18,-0.13,0.04,0.45,0.7,2.16
75,WATAMPONE,0.08,0.53,-0.1,0.79,0.35,0.09,-0.12,-0.27,-0.07,-0.2,0.09,1.08,2.26
76,KOTA MAKASSAR,0.31,0.34,0.44,0.24,0.26,-0.31,0.07,-0.34,-0.14,0.07,0.38,0.92,2.26
77,KOTA PARE-PARE,0.27,0.31,0.1,0.92,0.87,-0.04,0.26,-0.21,-0.31,-0.04,0.74,1.14,4.09
78,KOTA PALOPO,0.26,0.11,-0.01,0.41,1.0,-0.05,0.58,-0.06,-0.13,-0.06,0.22,0.65,2.96
79,KOTA KENDARI,-0.24,-0.11,0.39,0.21,1.16,0.28,0.7,0.62,0.24,-0.7,0.19,0.28,3.05
80,KOTA BUA-BAU,-0.92,0.53,-0.99,0.8,1.03,-0.51,0.91,0.12,-0.34,-0.44,0.8,0.08,1.05
81,KOTA GORONTALO,0.61,0.22,0.6,0.35,0.3,0.08,0.36,-0.16,-0.9,0.55,-0.36,0.92,2.59
82,MAMUJU,1.43,1.12,0.36,-0.21,1.36,0.35,-0.46,-0.1,-0.77,-0.07,0.33,1.0,4.39
83,KOTA AMBON,0.02,-0.43,0.38,0.16,0.78,0.84,0.07,-0.11,0.12,0.23,1.14,0.79,4.05
84,KOTA TUAL,-0.03,-0.08,0.2,0.52,0.11,0.63,1.16,0.1,0.07,-0.56,-0.16,1.44,3.45
85,KOTA TERNATE,-0.51,0.54,0.08,0.25,0.44,-0.22,0.55,-0.61,-0.11,0.66,0.25,1.03,2.38
86,MANOKWARI,-0.58,-0.21,0.93,-0.28,1.82,0.99,-0.6,-0.72,-0.62,0.96,0.68,1.02,3.39
87,KOTA SORONG,0.41,-0.53,0.74,0.18,0.83,1.12,1.51,-1.04,-0.76,0.04,-0.3,1.27,3.49
88,MERAUKE,-0.09,0.46,0.85,-0.04,0.09,0.28,0.04,-0.99,-0.75,0.49,-0.17,1.53,1.68
89,TIMIKA,-0.07,0.13,-0.41,1.27,-0.83,0.35,0.52,-0.03,-0.3,-0.13,0.35,1.24,2.09
90,KOTA JAYAPURA,-0.42,0.72,1.07,-1.26,-0.34,-0.38,0.09,-0.42,-0.35,0.81,0.29,1.91,1.7
91,INDONESIA,0.26,0.1,0.08,0.13,0.32,-0.16,0.08,0.03,-0.04,0.12,0.37,0.57,1.87
